d1_filter,adx_gate,hurst_gate,vov_gate,rsi_div,entry,exit,partial,oos_trades,oos_total_pips,oos_avg_pips,wf_trades,wf_total_pips,wf_avg_pips
ema_50_200,0,0.53,off,on,pullback,atr_2.5,50pct_1R,12993,-28673.35,-2.2068,0,0.0,0.0
ema_50_200,25,0.0,off,off,pullback,atr_3.0,50pct_1R,14520,-32076.91,-2.2092,0,0.0,0.0
off,20,0.0,reject_p75,on,pullback,atr_3.0,50pct_1R,74664,-165018.34,-2.2101,0,0.0,0.0
ema_50_200,25,0.53,off,on,pullback,regime_tighten,off,5128,-11342.13,-2.2118,0,0.0,0.0
ema_20_50,20,0.0,off,on,pullback,regime_tighten,50pct_1R,23644,-52301.21,-2.212,0,0.0,0.0
off,25,0.0,reject_p75,off,pullback,atr_2.5,off,54403,-120670.06,-2.2181,0,0.0,0.0
off,25,0.53,reject_p75,on,pullback,atr_2.5,50pct_1R,8828,-19589.86,-2.2191,3725,-7846.54,-2.1065
off,25,0.53,off,off,pullback,atr_3.0,off,14017,-31154.12,-2.2226,4845,-12041.49,-2.4853
off,20,0.0,reject_p75,off,pullback,atr_3.0,50pct_1R,80689,-179729.82,-2.2274,0,0.0,0.0
ema_50_200,0,0.0,reject_p75,on,pullback,atr_2.5,50pct_1R,24596,-54805.58,-2.2282,0,0.0,0.0
ema_50_200,0,0.0,off,off,immediate,atr_2.5,off,36939,-82340.39,-2.2291,0,0.0,0.0
off,0,0.53,reject_p75,on,pullback,atr_3.0,50pct_1R,22150,-49408.84,-2.2306,8919,-20731.64,-2.3244
ema_20_50,20,0.53,reject_p75,off,immediate,regime_tighten,50pct_1R,7442,-16616.05,-2.2327,0,0.0,0.0
off,0,0.53,reject_p75,off,immediate,atr_2.5,off,24402,-54545.04,-2.2353,9875,-22115.95,-2.2396
off,0,0.53,reject_p75,on,pullback,atr_3.0,off,22150,-49525.56,-2.2359,8919,-20496.69,-2.2981
ema_50_200,0,0.53,off,on,immediate,atr_3.0,off,13684,-30644.49,-2.2394,0,0.0,0.0
off,25,0.53,off,off,pullback,regime_tighten,50pct_1R,14017,-31462.14,-2.2446,4845,-10348.48,-2.1359
off,20,0.0,reject_p75,off,pullback,atr_2.5,off,80689,-181289.46,-2.2468,0,0.0,0.0
off,0,0.53,off,off,immediate,atr_3.0,off,34982,-78598.89,-2.2468,11609,-15429.26,-1.3291
off,0,0.53,off,on,immediate,atr_3.0,off,33300,-74847.73,-2.2477,11039,-12797.48,-1.1593
ema_50_200,20,0.0,off,on,pullback,atr_3.0,50pct_1R,20530,-46200.92,-2.2504,0,0.0,0.0
ema_20_50,20,0.0,reject_p75,on,immediate,regime_tighten,off,18172,-40909.81,-2.2513,0,0.0,0.0
ema_50_200,25,0.53,reject_p75,on,pullback,regime_tighten,off,3678,-8295.33,-2.2554,0,0.0,0.0
off,25,0.53,off,off,pullback,atr_3.0,50pct_1R,14017,-31634.3,-2.2569,4845,-12567.46,-2.5939
ema_20_50,20,0.0,off,on,pullback,regime_tighten,off,23644,-53407.85,-2.2588,0,0.0,0.0
off,0,0.53,off,on,pullback,atr_2.5,50pct_1R,31754,-71893.82,-2.2641,10514,-24425.65,-2.3232
off,20,0.53,off,on,pullback,atr_2.5,off,19525,-44224.33,-2.265,6574,-16506.8,-2.5109
ema_20_50,25,0.53,reject_p75,off,immediate,regime_tighten,50pct_1R,5007,-11346.11,-2.266,0,0.0,0.0
ema_50_200,20,0.0,off,off,pullback,atr_2.5,50pct_1R,22000,-49886.02,-2.2675,0,0.0,0.0
off,20,0.53,reject_p75,on,pullback,regime_tighten,off,13550,-30750.01,-2.2694,0,0.0,0.0
ema_20_50,20,0.0,off,off,pullback,regime_tighten,50pct_1R,25396,-57683.03,-2.2713,0,0.0,0.0
ema_50_200,20,0.0,reject_p75,off,immediate,atr_2.5,50pct_1R,16904,-38406.32,-2.272,0,0.0,0.0
ema_50_200,25,0.0,off,on,pullback,regime_tighten,50pct_1R,13294,-30207.43,-2.2723,0,0.0,0.0
ema_50_200,0,0.0,reject_p75,off,immediate,atr_2.5,off,27269,-62008.77,-2.274,0,0.0,0.0
ema_50_200,25,0.0,off,off,pullback,atr_3.0,off,14520,-33023.84,-2.2744,0,0.0,0.0
ema_50_200,20,0.0,off,on,pullback,atr_2.5,off,20530,-46813.75,-2.2803,0,0.0,0.0
ema_50_200,20,0.0,reject_p75,off,pullback,atr_3.0,50pct_1R,16060,-36656.92,-2.2825,0,0.0,0.0
ema_50_200,25,0.0,reject_p75,on,pullback,atr_2.5,off,9707,-22190.3,-2.286,0,0.0,0.0
ema_20_50,25,0.53,reject_p75,off,immediate,regime_tighten,off,5007,-11475.15,-2.2918,0,0.0,0.0
ema_50_200,25,0.0,reject_p75,on,immediate,atr_2.5,off,10202,-23383.58,-2.2921,0,0.0,0.0
ema_50_200,0,0.53,off,off,pullback,atr_2.5,50pct_1R,13646,-31307.41,-2.2943,0,0.0,0.0
ema_50_200,0,0.53,off,on,pullback,atr_2.5,off,12993,-29812.73,-2.2945,0,0.0,0.0
off,0,0.0,off,on,immediate,regime_flip,50pct_1R,147094,-338222.3,-2.2994,0,0.0,0.0
off,0,0.0,off,on,immediate,regime_flip,off,147094,-338222.3,-2.2994,0,0.0,0.0
